Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Event Start Video Time [ms]	Event End Video Time [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Visual Intake Average Pupil Size X [px]	Visual Intake Average Pupil Size Y [px]	Visual Intake Average Pupil Diameter [mm]	Visual Intake Dispersion X [px]	Visual Intake Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	20	5791.0	5857.5	901476.7	901543.3	66.6	00:00:05:872	00:00:05:955	-	-	-	-	-	-	-	711.5	543.0	849.5	545.5	6.1	4638.4	10557.6	211.8	98.8	169.4	24.7	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	20	5857.5	6106.9	901543.3	901792.7	249.4	00:00:05:955	00:00:06:205	863.5	557.6	66.1	56.5	3.4	28.3	39.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	21	6106.9	6173.5	901792.7	901859.2	66.6	00:00:06:205	00:00:06:289	-	-	-	-	-	-	-	873.2	581.5	807.8	680.1	5.0	7169.3	12904.6	757.9	91.5	244.4	50.0	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	21	6173.5	6406.4	901859.2	902092.2	233.0	00:00:06:289	00:00:06:497	777.5	659.2	67.6	61.4	3.5	31.6	38.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	22	6406.4	6489.7	902092.2	902175.4	83.2	00:00:06:497	00:00:06:580	-	-	-	-	-	-	-	779.4	627.2	597.2	596.1	8.5	7911.3	17651.1	645.5	117.2	321.3	40.0	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	22	6489.7	6589.5	902175.4	902275.3	99.8	00:00:06:580	00:00:06:664	589.7	563.8	67.7	58.5	3.5	14.4	28.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	23	6589.5	6689.4	902275.3	902375.1	99.9	00:00:06:664	00:00:06:789	-	-	-	-	-	-	-	578.0	571.1	493.9	559.3	6.0	14418.4	37262.1	1996.9	154.4	334.7	66.6	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	23	6689.4	6789.2	902375.1	902474.9	99.8	00:00:06:789	00:00:06:872	506.3	569.2	66.3	60.2	3.5	15.5	9.1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	24	6789.2	6938.9	902474.9	902624.7	149.8	00:00:06:872	00:00:07:039	-	-	-	-	-	-	-	514.2	570.8	961.6	529.8	22.8	9208.6	20925.6	37.8	144.5	411.1	33.3	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	24	6938.9	7238.5	902624.7	902924.2	299.5	00:00:07:039	00:00:07:330	942.1	496.1	66.3	56.2	3.6	47.3	61.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	25	7238.5	7305.0	902924.2	902990.8	66.6	00:00:07:330	00:00:07:414	-	-	-	-	-	-	-	922.4	487.4	782.2	551.8	6.6	8253.1	15725.7	884.6	120.5	248.7	50.0	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	25	7305.0	7687.8	902990.8	903373.5	382.8	00:00:07:414	00:00:07:789	765.9	538.7	69.1	60.1	3.6	24.2	38.2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	26	7687.8	7754.4	903373.5	903440.2	66.6	00:00:07:789	00:00:07:830	-	-	-	-	-	-	-	753.6	517.4	763.0	405.2	4.8	4140.5	7587.0	397.4	80.7	140.4	49.9	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	26	7754.4	7904.1	903440.2	903589.8	149.7	00:00:07:830	00:00:07:997	763.5	409.8	69.0	54.8	3.6	3.8	6.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	27	7904.1	7970.8	903589.8	903656.5	66.7	00:00:07:997	00:00:08:039	-	-	-	-	-	-	-	766.0	413.0	859.1	354.2	4.9	5574.6	10074.5	278.3	80.4	208.1	49.9	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	27	7970.8	8070.5	903656.5	903756.2	99.7	00:00:08:039	00:00:08:164	858.6	352.2	67.3	50.7	3.6	2.1	2.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	28	8070.5	8153.7	903756.2	903839.5	83.2	00:00:08:164	00:00:08:247	-	-	-	-	-	-	-	860.2	354.0	869.0	493.4	5.6	6355.9	13771.1	612.4	86.2	240.8	40.0	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	28	8153.7	8952.4	903839.5	904638.1	798.7	00:00:08:247	00:00:09:038	875.4	489.7	66.1	55.0	3.5	29.7	26.5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	29	8952.4	9035.8	904638.1	904721.5	83.4	00:00:09:038	00:00:09:121	-	-	-	-	-	-	-	866.0	486.3	723.0	517.4	7.2	5932.6	15283.0	295.7	98.3	225.3	59.9	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	29	9035.8	9118.8	904721.5	904804.5	83.0	00:00:09:121	00:00:09:204	726.9	558.8	67.2	57.2	3.4	16.4	82.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	30	9118.8	9202.3	904804.5	904888.0	83.5	00:00:09:204	00:00:09:288	-	-	-	-	-	-	-	717.3	482.1	788.6	512.2	3.3	13536.1	23967.2	1275.3	113.5	346.8	0.0	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	30	9202.3	9385.7	904888.0	905071.4	183.3	00:00:09:288	00:00:09:496	796.0	513.0	68.5	58.9	3.6	15.4	4.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	31	9385.7	9451.6	905071.4	905137.3	66.0	00:00:09:496	00:00:09:538	-	-	-	-	-	-	-	805.0	509.9	914.6	519.4	4.5	24186.2	46538.3	104.5	281.8	605.7	24.3	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	31	9451.6	9717.9	905137.3	905403.7	266.3	00:00:09:538	00:00:09:788	891.5	465.4	67.2	55.3	3.6	12.1	30.9	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Saccade	Binocular	32	9717.9	9784.4	905403.7	905470.2	66.5	00:00:09:788	00:00:09:871	-	-	-	-	-	-	-	882.4	452.3	876.2	516.9	2.6	2481.8	4130.4	87.5	49.1	90.4	49.9	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	32	9784.4	9934.2	905470.2	905619.9	149.7	00:00:09:871	00:00:10:038	898.0	547.6	67.7	57.4	3.6	51.5	76.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	895685.7	Connor-2-recording.avi	0.0	560973.6	Connor (1)	CornflowerBlue	99.5	Eye	Visual Intake	Binocular	33	10067.3	10267.1	905753.0	905952.8	199.8	00:00:10:163	00:00:10:329	867.4	535.1	69.4	58.8	3.6	33.1	32.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
