Trial	Trial Start Raw Time [ms]	Stimulus	Export Start Trial Time [ms]	Export End Trial Time [ms]	Participant	Color	Tracking Ratio [%]	Category Group	Category	Eye	Index	Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Start Raw Time [ms]	Event End Raw Time [ms]	Event Duration [ms]	Event Start Video Time [ms]	Event End Video Time [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]	Visual Intake Average Pupil Size X [px]	Visual Intake Average Pupil Size Y [px]	Visual Intake Average Pupil Diameter [mm]	Visual Intake Dispersion X [px]	Visual Intake Dispersion Y [px]	Saccade Start Position X [px]	Saccade Start Position Y [px]	Saccade End Position X [px]	Saccade End Position Y [px]	Saccade Amplitude [°]	Saccade Acceleration Average [°/s²]	Saccade Acceleration Peak [°/s²]	Saccade Deceleration Peak [°/s²]	Saccade Velocity Average [°/s]	Saccade Velocity Peak [°/s]	Saccade Peak Velocity at [%]	AOI Name	Annotation Name	Annotation Description	Annotation Tags	Mouse Position X [px]	Mouse Position Y [px]	Scroll Direction X	Scroll Direction Y	Content
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	44	21265.8	21299.0	228647.7	228681.0	33.3	00:00:21:326	00:00:21:368	-	-	-	-	-	-	-	693.5	658.0	679.7	659.7	0.7	1207.2	2126.4	288.0	23.4	38.5	49.9	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	44	21299.0	21432.5	228681.0	228814.4	133.5	00:00:21:368	00:00:21:493	677.0	654.8	56.3	49.8	2.8	9.9	7.6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	45	21432.5	21482.0	228814.4	228864.0	49.5	00:00:21:493	00:00:21:576	-	-	-	-	-	-	-	668.8	653.0	716.7	646.8	2.2	2546.9	4881.1	460.0	48.2	107.3	66.4	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	45	21482.0	21964.6	228864.0	229346.6	482.6	00:00:21:576	00:00:22:035	675.0	633.5	53.9	46.9	2.7	67.2	25.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	46	21964.6	22014.6	229346.6	229396.5	49.9	00:00:22:035	00:00:22:076	-	-	-	-	-	-	-	639.5	619.4	619.6	618.5	0.9	1027.4	1798.4	440.3	21.1	42.5	66.6	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	46	22014.6	22214.2	229396.5	229596.2	199.6	00:00:22:076	00:00:22:285	621.3	616.7	52.0	45.2	2.6	3.0	4.3	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	47	22214.2	22264.2	229596.2	229646.1	50.0	00:00:22:285	00:00:22:325	-	-	-	-	-	-	-	620.8	614.1	573.9	616.3	2.3	2277.9	5344.9	235.5	43.4	109.2	67.3	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	47	22264.2	22463.8	229646.1	229845.8	199.6	00:00:22:325	00:00:22:534	664.5	621.2	51.7	44.3	2.6	185.8	24.8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	48	22463.8	22513.8	229845.8	229895.7	49.9	00:00:22:534	00:00:22:575	-	-	-	-	-	-	-	770.8	621.4	832.8	620.6	2.9	1999.6	4881.1	19.7	62.8	86.0	33.3	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	48	22513.8	22696.8	229895.7	230078.7	183.0	00:00:22:575	00:00:22:784	794.9	604.6	51.6	45.2	2.6	43.6	17.7	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Saccade	Binocular	49	22696.8	22746.7	230078.7	230128.6	49.9	00:00:22:784	00:00:22:825	-	-	-	-	-	-	-	772.8	595.6	722.2	621.6	2.6	4031.3	6817.5	971.8	57.0	114.4	33.3	-	-	-	-	-	-	-	-	-
Trial001	207381.9	Connor-1-recording.avi	0.0	528458.2	Connor	Coral	93.9	Eye	Visual Intake	Binocular	49	22746.7	23146.1	230128.6	230528.0	399.4	00:00:22:825	00:00:23:242	697.1	620.9	52.3	46.0	2.7	34.5	6.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
